class_name,w_min,l_min,h_min,w_max,l_max,h_max,qual,thinnes,AR,flat
shoes,7,26,9,8,29,19,small,thick,WTT,0
big_screen,,,,228,1,131,XL,flat,WTT,1
fire_extinguisher,29,16,56.5,30,60,18.9,medium,thick,TTW,0
fire_extinguisher_sign,15,0.1,8,20,0.5,10,small,flat,WTT/TTW/EQ,1
hanged_coat_sweater,20,2,65,40,10,100,medium-large,flat/thin/thick,WTT/TTW/EQ,0-1
glass,3,3,8,5,5,15,XS,thin/thick,TTW/EQ,0
microphone,,,,16.2,30,5,small,thin,WTT/TTW,0
lamp,30,5,10,10,30,40,medium,flat/thin/thick,WTT/TTW/EQ,0-1
power_socket,,,,,,,small,thin/thick,WTT/TTW/EQ,0
guitar,30,15,100,40,20,115,large,thick,TTW/WTT,0
bookcase,40,20,70,75,40,140,large-XL,bulky,WTT/TTW/EQ,0
laptop,30,20,30,40,45,25,medium,flat/thin,WTT/TTW,0-1
recording_sign,,,,19.5,22,13.5,small,thin,EQ,0
foosball_table,,,,140,74,92,large-XL,bulky,WTT,0
cupboard,80,35,72,95,43,200,large-XL,bulky,WTT/TTW/EQ,0
mobile_phone,10,7,1,15,9,3,XS,flat,TTW/WWT/EQ,1
printer,,,,96.5,65.4,119.4,large,bulky,WTT/TTW/EQ,0
hat,20,20,10,30,30,20,small,flat/thin/thick,WTT/TTW/EQ,0-1
monitor,35,2,55,67,10,57,medium-large,flat/thin,WTT/TTW,0-1
box,,,,,,,XS-small-medium-large-XL,flat/thin/thick/bulky,WTT/TTW/EQ,0-1
desk,,,,150,70,65,large-XL,bulky,WTT,0
fire_alarm_assembly_sign,15,5,0.1,15,20,0.5,small,flat,WTT,1
chest_of_drawers,60,30,30,70,50,50,large-XL,bulky,WTT/TTW/EQ,0
wallpaper,40,100,1,50,200,2,large-XL,flat/thin,WTT/TTW/EQ,1
welcome_pod,,,,48.26,24.64,86.36,large-XL,thick,EQ,0
coat_stand,5,5,160,40,40,160,large-XL,flat/thin,TTW,0-1
door,61,203.2,3.5,121.9,300.,4.4,large-XL,thin/thick/bulky,TTW,0
office_signs,20,5,0.1,21,29.7,0.5,small-medium,flat/thin,WTT/TTW/EQ,0-1
chair,45,40,71,61,51,116.8,large-XL,thick,TTW/EQ,0
plant,25,15,50,60,60,160,XS-small-medium-large-XL,flat/thin/thick/bulky,TTW/WTT/EQ,0-1
toilet_sign,,,,8.5,8.5,0.5,small,flat,EQ,1
food_snack,5,5,5,5,5,15,XS-small,flat/thin/thick,TTW/WTT/EQ,0-1
book,10,10,5,40,30,25,XS-small-medium,flat/thin/thick,TTW/WTT/EQ,0-1
rubbish_bin,20,20,20,45,52,94,medium-large,thick/bulky,TTW/EQ,0
bicycle,30,30,8,180,100,60,large,thick,WTT,0
headphones,,,,20,17,5,small,thick,EQ,0
radiator,50,50,10,60,70,25,large-XL,thin/thick,WTT/EQ/TTW,0
person,40,20,155,46,46,180,XL,thick/bulky,WTT/TTW/EQ,0
mug,12,12,10,15,15,20,XS-small,thick,EQ/WTT/TTW,0
podium,,,,60,200,98,XL,bulky,WTT,0
emergency_exit_sign,30,10,0.1,31,11,0.5,small,flat,WTT/EQ,1
whiteboard,60,40,2,200,192,2,medium-large,flat,WTT/TTW/EQ,1
keyboard,,,,45,20,2,small,flat,WTT,1s
fan,,,,37,30,52,medium,flat/thin,EQ,0-1
drink_can,2,2,10,3,3,20,XS,thin/thick,TTW/EQ,0
pigeon_holes,20,40,70,40,90,75,large,thick/bulky,EQ,0
desktop_computer,,,,20,51,50,medium,thick,EQ/WTT,0
mouse,,,,8,5,14,XS,thin,WTT/EQ,0
handbag,30,20,5,37,20,15,medium-large,flat/thin/thick,EQ/WTT/TTW,0-1
bottle,7,7,25,10,10,35,small,thin,TTW,0
sofa,,,,180,95,190,large-XL,thick/bulky,WTT/EQ,0
window,50.8,61.0,3.5,200.,200.,4.5,large,thin/thick/bulky,EQ/WTT/TTW,0
electric_heater,,,,12.5,24.5,25,medium,thin/thick,EQ/WTT/TTW,0
pile_of_paper,21,29.7,0.1,84.1,118.9,25,XS-small-medium,flat/thin/thick,EQ/WTT/TTW,0-1
projector,30,25,9,11.8, 41.1, 26.8,medium,thin/thick,EQ/WTT,0
desk_phone,,,,17,22,12,small,thin/thick,EQ/WTT,0
power_cord,,,,,,,XS-small-medium-large-XL,flat/thin/thick,EQ/WTT/TTW,0-1
robot,,,,35,31,38,medium,thick,EQ/TTW,0
backpack,,,,32,12,36,medium-large,flat/thin/thick,EQ/TTW/WTT,0-1
plant_vase,,,,20,20,50,XS-small-medium,thin/thick,EQ/TTW,0
